id,interest_group,word_count,sentence_count,complex_sentence_count,percent_complex_sentences,avg_sentence_len
usr_cb1f4df9ab,Looking for Men,473,23,8,34.783,20.565
usr_9114a08dc7,Looking for Men,1821,98,30,30.612,18.582
usr_ff0b88a130,Looking for Women,1742,85,34,40.0,20.494
usr_8cff506150,Looking for Men,231,7,2,28.571,33.0
usr_9125241386,Looking for Men,1125,76,20,26.316,14.803
usr_edae9f254b,Looking for Women,566,30,11,36.667,18.867
usr_3386c9dc77,Looking for Men,231,7,2,28.571,33.0
usr_210314bef7,Looking for Both,2705,136,51,37.5,19.89
usr_6c237e0590,Looking for Women,548,23,6,26.087,23.826
usr_c4f7451f7e,Looking for Women,430,26,6,23.077,16.538
usr_0ea1d233e4,Looking for Men,758,61,8,13.115,12.426
usr_a4ecbea0a1,Looking for Men,956,20,10,50.0,47.8
usr_7a86b09354,Looking for Men,102,7,2,28.571,14.571
usr_145d4094eb,Looking for Women,240,14,6,42.857,17.143
usr_4cabf006ea,Looking for Men,359,21,8,38.095,17.095
usr_002801e2b5,Looking for Men,379,9,6,66.667,42.111
usr_92a91ee01b,Looking for Men,667,45,8,17.778,14.822
usr_096c1fc308,Looking for Men,136,12,2,16.667,11.333
usr_8f91ad41be,Looking for Men,223,13,4,30.769,17.154
usr_772c480194,Looking for Men,295,9,5,55.556,32.778
usr_a3452c4d95,Looking for Women,572,26,13,50.0,22.0
usr_a316ad1ed3,Looking for Women,286,15,7,46.667,19.067
usr_f6e0013eab,Looking for Women,687,50,12,24.0,13.74
usr_c0b3a89595,Looking for Women,368,32,4,12.5,11.5
usr_527d3d9c91,Looking for Women,579,38,9,23.684,15.237
usr_66fbc11cf7,Looking for Men,720,37,14,37.838,19.459
usr_c77d61e581,Looking for Women,384,17,10,58.824,22.588
