id,source_gender,target_gender,group,word_count,complex_pct,interestedIn_raw
usr_210314bef7,F,M,Women → Men,2705,10.795,"['M', 'F']"
usr_210314bef7,F,F,Women → Women,2705,10.795,"['M', 'F']"
usr_c4f7451f7e,M,F,Men → Women,430,18.605,['F']
usr_0ea1d233e4,F,M,Women → Men,758,16.359,['M']
usr_a4ecbea0a1,F,M,Women → Men,956,20.711,['M']
usr_7a86b09354,F,M,Women → Men,102,20.588,['M']
usr_145d4094eb,M,F,Men → Women,240,20.417,['F']
usr_4cabf006ea,F,M,Women → Men,359,15.877,['M']
usr_002801e2b5,F,M,Women → Men,379,10.29,['M']
usr_92a91ee01b,F,M,Women → Men,667,14.393,['M']
usr_096c1fc308,F,M,Women → Men,136,14.706,['M']
usr_8f91ad41be,F,M,Women → Men,223,11.211,['M']
usr_772c480194,F,M,Women → Men,295,6.78,['M']
usr_a3452c4d95,M,F,Men → Women,572,9.79,['F']
usr_a316ad1ed3,M,F,Men → Women,286,12.937,['F']
usr_f6e0013eab,M,F,Men → Women,687,12.955,['F']
usr_c0b3a89595,M,F,Men → Women,368,10.326,['F']
usr_527d3d9c91,M,F,Men → Women,579,15.026,['F']
usr_66fbc11cf7,F,M,Women → Men,720,10.278,['M']
usr_c77d61e581,NB,F,NB → Women,384,14.062,['F']
usr_9c7bd4050f,M,F,Men → Women,585,15.214,"['F', 'M', 'NB']"
usr_9c7bd4050f,M,M,Men → Men,585,15.214,"['F', 'M', 'NB']"
usr_9c7bd4050f,M,NB,Men → NB,585,15.214,"['F', 'M', 'NB']"
usr_5675b58976,F,M,Women → Men,609,13.136,['M']
usr_a685339a27,M,F,Men → Women,643,11.353,['F']
usr_169fe68959,M,F,Men → Women,2285,10.372,['F']
usr_3471ae2b14,F,M,Women → Men,314,13.694,['M']
usr_076c084131,M,F,Men → Women,780,12.436,['F']
usr_75f07f3e1a,M,F,Men → Women,1410,13.404,['F']
usr_6220c53bd4,M,F,Men → Women,989,12.942,"['F', 'NB']"
usr_6220c53bd4,M,NB,Men → NB,989,12.942,"['F', 'NB']"
usr_df563a8c21,M,F,Men → Women,135,8.148,['F']
usr_8d798f2ac8,F,M,Women → Men,117,12.821,['M']
usr_36af460751,M,F,Men → Women,497,12.676,['F']
usr_870452fa93,M,F,Men → Women,359,9.192,['F']
usr_ca9dfe4c14,F,F,Women → Women,891,18.182,"['F', 'M', 'NB']"
usr_ca9dfe4c14,F,M,Women → Men,891,18.182,"['F', 'M', 'NB']"
usr_ca9dfe4c14,F,NB,Women → NB,891,18.182,"['F', 'M', 'NB']"
usr_bacc2418a5,M,F,Men → Women,107,28.972,['F']
usr_ba9d8d1b92,M,M,Men → Men,142,8.451,['M']
usr_8ab426951e,F,M,Women → Men,2033,15.347,['M']
usr_52bf981f18,M,F,Men → Women,3850,19.143,"['F', 'M', 'NB']"
usr_52bf981f18,M,M,Men → Men,3850,19.143,"['F', 'M', 'NB']"
usr_52bf981f18,M,NB,Men → NB,3850,19.143,"['F', 'M', 'NB']"
usr_80c22d2507,M,F,Men → Women,821,12.911,['F']
usr_df98b38087,F,M,Women → Men,310,5.161,['M']
usr_b1185a9599,M,F,Men → Women,1832,11.681,['F']
usr_f40be05c5f,M,M,Men → Men,707,10.75,"['M', 'F', 'NB']"
usr_f40be05c5f,M,F,Men → Women,707,10.75,"['M', 'F', 'NB']"
usr_f40be05c5f,M,NB,Men → NB,707,10.75,"['M', 'F', 'NB']"
usr_321cbee0ad,F,M,Women → Men,1024,14.746,"['M', 'NB']"
usr_321cbee0ad,F,NB,Women → NB,1024,14.746,"['M', 'NB']"
usr_90a20138cd,F,M,Women → Men,794,10.327,['M']
usr_3b7ae0f59b,M,F,Men → Women,159,19.497,['F']
usr_2cf51205d0,M,F,Men → Women,435,9.885,['F']
usr_564edb5079,M,F,Men → Women,861,13.937,['F']
usr_c4a83cbbdf,M,F,Men → Women,2507,14.081,['F']
usr_657eb75a0a,M,F,Men → Women,1067,17.338,['F']
usr_6604a51053,M,F,Men → Women,785,18.089,['F']
usr_370e9dbeca,F,F,Women → Women,746,17.694,"['F', 'M', 'NB']"
usr_370e9dbeca,F,M,Women → Men,746,17.694,"['F', 'M', 'NB']"
usr_370e9dbeca,F,NB,Women → NB,746,17.694,"['F', 'M', 'NB']"
usr_f524dc772d,M,F,Men → Women,293,21.16,['F']
usr_655f1ed2c4,F,M,Women → Men,358,14.525,['M']
usr_60221ab882,F,M,Women → Men,1125,18.4,['M']
usr_5d19c07e30,M,F,Men → Women,234,56.41,['F']
usr_4fc014d179,M,F,Men → Women,605,12.727,"['F', 'NB']"
usr_4fc014d179,M,NB,Men → NB,605,12.727,"['F', 'NB']"
usr_da31a54b44,M,F,Men → Women,305,9.508,['F']
usr_91f5407cf3,F,M,Women → Men,168,11.31,['M']
usr_91a4ee8192,M,F,Men → Women,928,14.547,['F']
usr_77683bbfb9,M,F,Men → Women,401,12.718,['F']
usr_2d35fdfcae,M,F,Men → Women,1040,10.673,['F']
usr_b4914ffd72,M,F,Men → Women,1358,15.169,['F']
usr_e095117d98,M,F,Men → Women,280,10.714,['F']
usr_e10455e54d,M,F,Men → Women,1619,13.527,['F']
usr_b388085011,M,F,Men → Women,512,10.938,['F']
usr_174539e3d3,M,F,Men → Women,1141,16.564,['F']
usr_2d1d90850d,M,F,Men → Women,545,13.211,['F']
usr_1c94368b35,F,M,Women → Men,292,10.959,"['M', 'F', 'NB']"
usr_1c94368b35,F,F,Women → Women,292,10.959,"['M', 'F', 'NB']"
usr_1c94368b35,F,NB,Women → NB,292,10.959,"['M', 'F', 'NB']"
usr_b59b3aa4ec,M,F,Men → Women,143,10.49,['F']
usr_aef0bc1982,M,F,Men → Women,333,16.817,['F']
usr_51bb038ab9,F,M,Women → Men,1797,10.072,['M']
usr_bc27cf28c9,M,F,Men → Women,398,9.296,['F']
usr_dfe670cf74,M,F,Men → Women,422,13.744,['F']
usr_aca50c1241,NB,F,NB → Women,535,12.71,"['F', 'M', 'NB']"
usr_aca50c1241,NB,M,NB → Men,535,12.71,"['F', 'M', 'NB']"
usr_aca50c1241,NB,NB,NB → NB,535,12.71,"['F', 'M', 'NB']"
usr_72ee7b01b7,F,M,Women → Men,657,11.111,['M']
usr_340e6cc34d,M,F,Men → Women,113,11.504,['F']
usr_30ff43ad3f,F,M,Women → Men,934,13.169,['M']
usr_c2d0e67189,M,F,Men → Women,205,18.049,['F']
usr_d78fe9d889,M,F,Men → Women,806,12.035,['F']
usr_d97a99c3b7,M,M,Men → Men,135,9.63,"['M', 'NB']"
usr_d97a99c3b7,M,NB,Men → NB,135,9.63,"['M', 'NB']"
usr_58fe5bb1ed,M,F,Men → Women,1000,9.4,['F']
usr_e180f374be,F,M,Women → Men,751,9.987,['M']
usr_298b38ef40,M,F,Men → Women,178,29.775,['F']
usr_4b7db33b94,F,M,Women → Men,144,22.222,['M']
usr_8e94444f6f,F,F,Women → Women,1478,13.532,"['F', 'M']"
usr_8e94444f6f,F,M,Women → Men,1478,13.532,"['F', 'M']"
usr_bac751c66d,M,F,Men → Women,130,11.538,['F']
usr_fd38a10137,M,F,Men → Women,192,18.229,['F']
usr_ad60c5f6a0,F,M,Women → Men,2299,10.004,['M']
usr_b25bc47508,M,F,Men → Women,293,11.945,['F']
usr_8bec96c14b,M,F,Men → Women,2932,17.087,['F']
usr_d8d708ea6b,M,F,Men → Women,109,12.844,['F']
usr_65721f6fe3,M,F,Men → Women,476,13.025,['F']
usr_80304fd0b5,M,F,Men → Women,785,18.089,['F']
usr_d76a063805,M,F,Men → Women,489,11.452,['F']
usr_33e12a81c2,F,M,Women → Men,499,12.826,['M']
usr_95a9b10018,M,F,Men → Women,429,17.716,['F']
usr_9c3df10c8e,F,M,Women → Men,708,14.266,['M']
usr_4ca3dd5a11,M,F,Men → Women,2640,11.402,['F']
usr_3da85ea3ec,M,F,Men → Women,8401,11.463,['F']
usr_5d087ea782,M,F,Men → Women,2398,15.847,['F']
usr_88c85ecc38,M,F,Men → Women,1301,14.988,['F']
usr_66a6bdc77b,M,F,Men → Women,1077,9.285,['F']
usr_ab89eb0bb3,M,F,Men → Women,1674,11.768,['F']
usr_c5a8d4db9f,M,F,Men → Women,840,14.048,"['F', 'NB']"
usr_c5a8d4db9f,M,NB,Men → NB,840,14.048,"['F', 'NB']"
usr_7fd82cd0b4,M,F,Men → Women,489,15.951,"['F', 'NB']"
usr_7fd82cd0b4,M,NB,Men → NB,489,15.951,"['F', 'NB']"
usr_81ad59323d,M,F,Men → Women,892,11.659,['F']
usr_107b467dd6,F,M,Women → Men,535,16.075,['M']
usr_a3164c38df,F,M,Women → Men,1309,13.293,['M']
usr_98a3a766b8,M,F,Men → Women,159,19.497,['F']
usr_dc0f7360e9,M,F,Men → Women,924,17.1,['F']
usr_6c464a7f53,M,F,Men → Women,568,8.979,['F']
usr_e8711d37b3,M,F,Men → Women,1746,13.975,"['F', 'M']"
usr_e8711d37b3,M,M,Men → Men,1746,13.975,"['F', 'M']"
usr_5279084c35,M,F,Men → Women,2074,11.524,"['F', 'M', 'NB']"
usr_5279084c35,M,M,Men → Men,2074,11.524,"['F', 'M', 'NB']"
usr_5279084c35,M,NB,Men → NB,2074,11.524,"['F', 'M', 'NB']"
usr_58c9686525,M,F,Men → Women,1279,13.604,['F']
usr_781710d5f3,NB,F,NB → Women,3116,12.099,"['F', 'M']"
usr_781710d5f3,NB,M,NB → Men,3116,12.099,"['F', 'M']"
usr_adef7c72b1,M,F,Men → Women,195,17.436,['F']
usr_687f8c5cbf,M,F,Men → Women,241,15.353,['F']
usr_75045befd8,F,M,Women → Men,661,11.195,['M']
usr_f12e7c6cb0,M,F,Men → Women,194,9.278,"['F', 'M', 'NB']"
usr_f12e7c6cb0,M,M,Men → Men,194,9.278,"['F', 'M', 'NB']"
usr_f12e7c6cb0,M,NB,Men → NB,194,9.278,"['F', 'M', 'NB']"
usr_466c43842b,NB,M,NB → Men,223,16.143,['M']
usr_48e483544a,M,F,Men → Women,7524,14.593,"['F', 'NB']"
usr_48e483544a,M,NB,Men → NB,7524,14.593,"['F', 'NB']"
usr_448a88249a,M,F,Men → Women,596,13.926,['F']
